﻿"注意：第1-3行的表头信息，以及销售属性信息不可修改，点击修改出现警告提示需要密码为正常现象。请选择可修改的信息进行编辑。"
"商品信息","发货时间信息","销售属性","SKU信息","生产及使用日期信息"
"商品Id","类目id","类目名称","宝贝标题","一口价","导购标题","商家编码","发货时间","最长发货时间","销售属性","属性对","skuId","价格(元)","库存(件)","发货时间","商家编码","生产日期(格式：年-月-日 ~ 年-月-日)","保质期（天）"
"1042132928249","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","鬼灭之刃虫柱 蝴蝶忍 刺绣布贴撕拉魔术贴动漫二次元周边修补","12.0","","1042132928249",15,15,"","","SKU1042132928249","12.0","99",15,"1042132928249",,
"1015340092525","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","鬼灭之刃水柱 富冈义勇_ 刺绣布贴撕拉魔术贴动漫二次元周边修补","12.0","","1015340092525",15,15,"","","SKU1015340092525","12.0","99",15,"1015340092525",,
"1001125299209","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","鬼灭之刃恋柱甘露寺蜜璃 刺绣布贴撕拉魔术贴动漫二次元周边修补","12.0","","1001125299209",15,15,"","","SKU1001125299209","12.0","99",15,"1001125299209",,
"975710778067","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","胜利的浣熊 手势 创意个性衣服背包装饰刺绣布贴勾面魔术贴徽章","10.0","","975710778067",15,15,"","","SKU975710778067","10.0","99",15,"975710778067",,
"975663638877","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","火焰鸟 三圣鸟宝可梦补丁贴卡通动漫刺绣精致可缝背胶布贴","17.0","","975663638877",15,15,"","","SKU975663638877","17.0","99",15,"975663638877",,
"975685445373","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","帕路奇亚可梦儿童牛仔裤补丁贴卡通动漫刺绣精致可缝背胶布贴","15.0","","975685445373",15,15,"","","SKU975685445373","15.0","99",15,"975685445373",,
"963960115086","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","魔戒 远征队 黑白创意个性衣服背包装饰刺绣勾面魔术贴徽章","10.0","","963960115086",15,15,"","","SKU963960115086","10.0","99",15,"963960115086",,
"964457998302","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","666的青瓜 创意个性衣服背包装饰刺绣布贴勾面魔术贴徽章","10.0","","964457998302",15,15,"","","SKU964457998302","10.0","99",15,"964457998302",,
"944265181119","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","胖虎的拳头 愤怒的拳头 创意个性衣服背包装饰刺绣勾面魔术贴徽章","10.0","","944265181119",15,15,"","","SKU944265181119","10.0","99",15,"944265181119",,
"943622918026","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","暴鲤龙Mega 宝可梦刺绣缝补丁贴卡通衣服装饰贴背胶热熔胶布贴","17.0","","943622918026",15,15,"","","SKU943622918026","17.0","99",15,"943622918026",,
"944776136474","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","闪电鸟 三圣鸟宝可梦补丁贴卡通动漫刺绣精致可缝背胶布贴","17.0","","944776136474",15,15,"","","SKU944776136474","17.0","99",15,"944776136474",,
"927209700719","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","麻将 红中发财幺鸡 国潮创意个性衣服背包装饰刺绣勾面魔术贴徽章","10.0","","927209700719",15,15,"","","SKU927209700719","10.0","99",15,"927209700719",,
"926879324961","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","精灵宝可梦异色谜拟Ｑ迷你丘卡通衣服装饰刺绣补丁布贴背胶魔术贴","10.0","","926879324961",15,15,"","","SKU926879324961","10.0","99",15,"926879324961",,
"925287311408","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","急冻鸟 闪电鸟 三圣鸟宝可梦补丁贴卡通动漫刺绣精致可缝背胶布贴","17.0","宝可梦三圣鸟卡通动漫刺绣布贴","925287311408",15,15,"","","SKU925287311408","17.0","99",15,"925287311408",,
"866675857957","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","帝牙卢卡可梦儿童牛仔裤补丁贴卡通动漫刺绣精致可缝背胶布贴","15.0","","866675857957",15,15,"","","SKU866675857957","15.0","99",15,"866675857957",,
"864784291613","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","快要掉下来的小猫 黑白创意个性衣服背包装饰刺绣勾面魔术贴徽章","8.0","","864784291613",15,15,"","","SKU864784291613","8.0","99",15,"864784291613",,
"862722546899","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","精灵宝可梦 菊草叶 刺绣徽章布贴衣服装饰补丁补洞贴diy辅料背胶","10.0","","862722546899",15,15,"","","SKU862722546899","10.0","99",15,"862722546899",,
"863321452383","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","伊裴尔塔尔宝可梦儿童牛仔裤补丁贴卡通动漫刺绣精致可缝背胶布贴","18.0","","863321452383",15,15,"","","SKU863321452383","18.0","99",15,"863321452383",,
"860772986845","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","超级耿鬼宝可梦刺绣补丁贴魔术贴儿童卡通衣服书包装饰背胶布贴","15.0","","860772986845",15,15,"","","SKU860772986845","15.0","99",15,"860772986845",,
"858811178756","122852001>>122954001>>122956001>>50005026","居家布艺>>缝纫DIY材料、工具及成品>>缝纫DIY配件/辅料/配饰>>布贴","水晶灯火灵宝可梦儿童牛仔裤补丁贴卡通动漫刺绣精致可缝背胶布贴","15.0","","858811178756",15,15,"","","SKU858811178756","15.0","99",15,"858811178756",,
